Question,Type,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
86. You've been hired to enhance the overall security posture for a very large e-commerce site They have a well architected multi-tier application running in a VPC that uses ELBs in front of both the web and the app tier with static assets served directly from S3 They are using a combination of RDS and DynamoOB for their dynamic data and then archiving nightly into S3 for further processing with EMR They are concerned because they found questionable log entries and suspect someone is attempting to gain unauthorized access. Which approach provides a cost effective scalable mitigation to this kind of attack?,Single Answer,"Recommend that they lease space at a DirectConnect partner location and establish a lG DirectConnect connection to their vPC they would then establish Internet connectivity into their space, filter the traffic in hardware Web Application Firewall (WAF). And then pass the traffic through the DirectConnect connection into their application running in their VPC,",Add previously identified hostile source IPs as an explicit INBOUND DENY NACL to the web tier sub net.,Add a WAF tier by creating a new ELB and an AutoScaling group of EC2 Instances running a host based WAF They would redirect Route 53 to resolve to the new WAF tier ELB The WAF tier wouldthier pass the traffic to the current web tier The web tier Security Groups would be updated to only allow traffic from the WAF tier Security Group,Remove all but TLS 1 2 from the web tier ELB and enable Advanced Protocol Filtering This will enable the ELB itself to perform WAF functionality.,,
87. You are designing the network infrastructure for an application server in Amazon VPC Users will access all the application instances from the Internet as well as from an on-premises network The on-premises network is connected to your VPC over an AWS Direct Connect link. How would you design routing to meet the above requirements?,Single Answer,Configure a single routing Table with a default route via the Internet gateway Propagate a default route via BGP on the AWS Direct Connect customer router. Associate the routing table with all VPCsubnets.,Configure a single routing table with a default route via the internet gateway Propagate specific routes for the on-premises networks via BGP on the AWS Direct Connect customer router Associatethe routing table with all VPC subnets.,Configure a single routing table with two default routes: one to the internet via an Internet gateway the other to the on-premises network via the VPN gateway use this routing table across all subnets in your VPC.,Configure two routing tables one that has a default route via the Internet gateway and another that has a default route via the VPN gateway Associate both routing tables with each VPC subnet.,,
88. You have multiple VPN connections and want to provide secure communication between sites using the AWS VPN CloudHub. Which statement is the most accurate in describing what you must do to set this up correctly?,Multiple Answers,"Create a virtual private gateway with multiple customer gateways, each with unique Border Gateway Protocol (BGP) Autonomous System Numbers (ASNs).","Create a virtual private gateway with multiple customer gateways, each with a unique set of keys.","Create a virtual public gateway with multiple customer gateways, each with a unique Private subnet.","Create a virtual private gateway with multiple customer gateways, each with unique subnet id.",,
89. A user is aware that a huge download is occurring on his instance. He has already set the Auto Scaling policy to increase the instance count when the network I/O increases beyond a certain limit. How can the user ensure that this temporary event does not result in scaling?,Single Answer,The network I/O are not affected during data download.,The policy cannot be set on the network I/O.,There is no way the user can stop scaling as it is already configured.,Suspend scaling.,,
90. The Amazon EC2 web service can be accessed using the [...] web services messaging protocol. This interface is described by a Web Services Description Language (WSDL) document.,Single Answer,SOAP.,DCOM.,CORBA.,XML-RPC.,,
91. Which of the following are true regarding encrypted Amazon Elastic Block Store (EBS) volumes? (Choose 2 answers),Multiple Answers (Checkbox),Supported on all Amazon EBS volume types.,Snapshots are automatically encrypted.,Available to all instance types.,Existing volumes can be encrypted.,Shared volumes can be encrypted.,
92. Is Federated Storage Engine currently supported by Amazon RDS for MySQL?,Single Answer,Only for Oracle RDS instances.,Yes.,No.,Only in VPC.,,
"93. While creating the snapshots using the API, which Action should I be using?",Single Answer,MakeSnapShot.,FreshSnapshot.,DeploySnapshot.,CreateSnapshot.,,
94. A customer needs to capture all client connection information from their load balancer every five minutes. The company wants to use this data for analyzing traffic patterns and troubleshooting their applications. Which of the following options meets the customer requirements?,Single Answer,Enable AWS CloudTrail for the load balancer.,Enable access logs on the load balancer.,Install the Amazon CloudWatch Logs agent on the load balancer.,Enable Amazon CloudWatch metrics on the load balancer.,,
95. Will my standby RDS instance be in the same Region as my primary?,Single Answer,Only for Oracle RDS types.,Yes.,Only if configured at launch.,No.,,
"96. If I want my instance to run on a single-tenant hardware, which value do I have to set the instance's tenancy attribute to?",Single Answer,Dedicated.,Isolated.,One.,Reserved.,,
97. Can the string value of 'Key' be prefixed with :aws:'?,Single Answer,Only in GovCloud.,Only for S3 not EC2.,Yes.,No.,,
98. A user wants to increase the durability and availability of the EBS volume. Which of the below mentioned actions should he perform?,Single Answer,Take regular snapshots.,Create an AM.,Create EBS with higher capacity.,Access EBS regularly.,,
99. What does Amazon RDS stand for?,Single Answer,Regional Data Server.,Relational Database Service.,Nothing.,Regional Database Service.,,
"100. You have been asked to set up monitoring of your network and you have decided that Cloudwatch would be the best service to use. Amazon CloudWatch monitors your Amazon Web Services (AWS) resources and the applications you run on AWS in real-time. You can use CloudWatch to collect and track metrics, which are the variables you want to measure for your resources and applications. Which of the following items listed can AWS Cloudwatch monitor?",Multiple Answers,Log files your applications generate.,All of the items listed on this page.,"System-wide visibility into resource utilization, application performance, and operational health.",Custom metrics generated by your applications and services.,,
101. What is the maximum write throughput I can provision for a single Dynamic DB table?,Single Answer,"1,000 write capacity units.","100,000 write capacity units.","Dynamic DB is designed to scale without limits, but if you go beyond 10,000 you have to contact AWS first.","10,000 write capacity units.",,
102. Do Amazon EBS volumes persist independently from the running life of an Amazon EC2 instance?,Single Answer,"Yes, they do but only if they are detached from the instance.","No, you cannot attach EBS volumes to an instance.","No, they are dependent.","Yes, they do.",,
103. What is a Security Group?,Single Answer,None of these.,A list of users that can access Amazon EC2 instances.,An Access Control List (ACL) for AWS resources.,"A firewall for inbound traffic, built-in around every Amazon EC2 instance.",,
104. You need to set up a high level of security for an Amazon Relational Database Service (RDS) you have just built in order to protect the confidential information stored in it. What are all the possible security groups that RDS uses?,Single Answer,"DB security groups, VPC security groups, and EC2 security groups.",DB security groups only.,EC2 security groups only.,"VPC security groups, and EC2 security groups.",,
"105. In the 'Detailed' monitoring data available for your Amazon EBS volumes, Provisioned IOPS volumes automatically send [...] minute metrics to Amazon CloudWatch.",Single Answer,3.,1.,5.,2.,,
106. You are looking at ways to improve some existing infrastructure as it seems a lot of engineering resources are being taken up with basic management and monitoring tasks and the costs seem to be excessive. You are thinking of deploying Amazon ElasticCache to help. Which of the following statements is true in regards to ElasticCache?,Single Answer,You can improve load and response times to user actions and queries however the cost associated with scaling web applications will be more.,You can't improve load and response times to user actions and queries but you can reduce the cost associated with scaling web applications.,You can improve load and response times to user actions and queries however the cost associated with scaling web applications will remain the same.,You can improve load and response times to user actions and queries and also reduce the cost associated with scaling web applications.,,
"107. A customer needs corporate IT governance and cost oversight of all AWS resources consumed by its divisions. The divisions want to maintain administrative control of the discrete AWS resources they consume and keep those resources separate from the resources of other divisions. Which of the following options, when used together will support the autonomy/control of divisions while enabling corporate IT to maintain governance and cost oversight? (Choose 2 answers)",Multiple Answers (Checkbox),Use AWS Consolidated Billing and disable AWS root account access for the child accounts.,Enable IAM cross-account access for all corporate IT administrators in each child account.,Create separate VPCs for each division within the corporate IT AWS account.,Use AWS Consolidated Billing to link the divisions' accounts to a parent corporate account.,Write all child AWS CloudTrail and Amazon CloudWatch logs to each child account's Amazon S3 'Log' bucket.,
108. After creating a new IAM user which of the following must be done before they can successfully make API calls?,Single Answer,Add a password to the user.,Enable Multi-Factor Authentication for the user.,Assign a Password Policy to the user.,Create a set of Access Keys for the user.,,
109. A friend wants you to set up a small BitTorrent storage area for him on Amazon S3. You tell him it is highly unlikely that AWS would allow such a thing in their infrastructure. However you decide to investigate. Which of the following statements best describes using BitTorrent with Amazon S3?,Single Answer,Amazon S3 does not support the BitTorrent protocol because it is used for pirated software.,You can use the BitTorrent protocol but only for objects that are less than 100 GB in size.,You can use the BitTorrent protocol but you need to ask AWS for specific permissions first.,You can use the BitTorrent protocol but only for objects that are less than 5 GB in size.,,
"110. IAM's Policy Evaluation Logic always starts with a default [...] for every request, except for those that use the AWS account's root security credentials?",Single Answer,Permit.,Deny.,Cancel.,,,
111. You have been given a scope to deploy some AWS infrastructure for a large organization. The requirements are that you will have a lot of EC2 instances but may need to add more when the average utilization of your Amazon EC2 fleet is high and conversely remove them when CPU utilization is low. Which AWS services would be best to use to accomplish this?,Single Answer,"Auto Scaling, Amazon CloudWatch and AWS Elastic Beanstalk.","Auto Scaling, Amazon CloudWatch and Elastic Load Balancing.","Amazon CloudFront, Amazon CloudWatch and Elastic Load Balancing.","AWS Elastic Beanstalk, Amazon CloudWatch and Elastic Load Balancing.",,
112. When does the billing of an Amazon EC2 system begin?,Single Answer,It starts when the Status column for your distribution changes from Creating to Deployed.,It starts as soon as you click the create instance option on the main EC2 console.,It starts when your instance reaches 720 instance hours.,It starts when Amazon EC2 initiates the boot sequence of an AMI instance.,,
113. A user is storing a large number of objects on AWS S3. The user wants to implement the search functionality among the objects. How can the user achieve this?,Single Answer,Use the indexing feature of S3.,Tag the objects with the metadata to search on that.,Use the query functionality of S3.,Make your own DB system which stores the S3 metadata for the search functionality.,,
"114. A corporate web application is deployed within an Amazon Virtual Private Cloud (VPC) and is connected to the corporate data center via an IPsec VPN. The application must authenticate against the on-premises LDAP server. After authentication, each logged-in user can only access an Amazon Simple Storage Space (S3) keyspace specific to that user. Which two approaches can satisfy these objectives? (Choose 2 answers)",Multiple Answers (Checkbox),Develop an identity broker that authenticates against IAM security Token service to assume a Lam role in order to get temporary AWS security credentials The application calls the identity broker toget AWS temporary security credentials with access to the appropriate S3 bucket.,The application authenticates against LDAP and retrieves the name of an IAM role associated with the user. The application then ca lls the IAM Security Token Service to assume that IAM role The application can use the temporary credentials to access the appropriate S3 bucket.,Develop an identity broker that authenticates against LDAP and then calls IAM Security To ken Service to get IAM federated user credentials The application calls the identity broker to get IAMfederated user credentials with access to the appropriate S3 bucket.,The application authenticates against LDAP the application then calls the AWS identity and Access Management (IAM) Security service to log in to IAM using the LDAP credentials the application can use the IAM temporary credentials to access the appropriate S3 bucket.,The application authenticates against IAM Security Token Service using the LDAP credentials the application uses those temporary AWS security credentials to access the appropriate S3 bucket.,
115. A group can contain many users. Can a user belong to multiple groups?,Multiple Answers,Yes always.,No.,Yes but only if they are using two factor authentication.,Yes but only in VPC.,,
116. Does Dynamo DB support in-place atomic updates?,Single Answer,It is not defined.,Yes.,It does support in-place non-atomic updates.,,,
117. Can you move a Reserved Instance from one Availability Zone to another?,Single Answer,"Yes, but each Reserved Instance is associated with a specific Region that cannot be changed.","Yes, only in US-West-2.","Yes, only in US-East-1.",No.,,
118. You want to establish a dedicated network connection from your premises to AWS in order to save money by transferring data directly to AWS rather than through your internet service provider. You are sure there must be some other benefits beyond cost savings. Which of the following statements would be the best choice to put your client's mind at rest?,Single Answer,Different instances running on the same physical machine are isolated from each other via a 256-bit Advanced Encryption Standard (AES-256).,Different instances running on the same physical machine are isolated from each other via the Xen hypervisor and via a 256-bit Advanced Encryption Standard (AES-256).,Different instances running on the same physical machine are isolated from each other via the Xen hypervisor.,Different instances running on the same physical machine are isolated from each other via IAM permissions.,,
119. Can I detach the primary (ethO) network interface when the instance is running or stopped?,Single Answer,"Yes, You can.",No. You cannot.,,,,
"120. You have launched an Amazon Elastic Compute Cloud (EC2) instance into a public subnet with a primary private I P address assigned, an internet gateway is attached to the VPC, and the public route table is configured to send all Internet-based traffic to the Internet gateway. The instance security group is set to allow all outbound traffic but cannot access the internet. Why is the Internet unreachable from this instance?",Single Answer,The instance does not have a public IP address.,The internet gateway security group must allow all outbound traffic.,The instance security group must allow all inbound traffic.,The instance 'Source/Destination check' property must be enabled.,,
121. Which of the following statements best describes the differences between Elastic Beanstalk and CloudFormation?,Single Answer,Elastic Beanstalk uses Elastic load balancing and CloudFormation doesn't.,CloudFormation is faster in deploying applications than Elastic Beanstalk.,Elastic Beanstalk is faster in deploying applications than CloudFormation.,"CloudFormation is much more powerful than Elastic Beanstalk, because you can actually design and script custom resources.",,
122. It is advised that you watch the Amazon CloudWatch [...] metric (available via the AWS Management Console or Amazon Cloud Watch APIs) carefully and recreate the Read Replica should it fall behind due to replication errors.,Single Answer,Write Lag.,Read Replica.,Replica Lag.,Single Replica.,,
123. Your application provides data transformation services. Files containing data to be transformed are first uploaded to Amazon S3 and then transformed by a fleet of spot EC2 instances. Fi les submitted by your premium customers must be transformed with the highest priority. How should you implement such a system?,Single Answer,"Use a DynamoDB table with an attribute defining the priority level. Transformation instances will scan the table for tasks, sorting the results by priority level.",Use Route 53 latency based-routing to send high priority tasks to the closest transformation instances.,"Use two SQS queues, one for high priority messages, the other for default priority. Transformation instances first poll the high priority queue; if there is no message, they poll the default priority queue.",Use a single SQS queue. Each message contains the priority level. Transformation instances poll high-priority messages first.,,
"124. True or False: When you view the block device mapping for your instance, you can see only the EBS volumes, not the instance store volumes.",Single Answer,Depends on the instance type.,False.,Depends on whether you use API call.,True.,,
125. Does AWS CloudFormation support Amazon EC2 tagging?,Single Answer,"Yes, AWS CloudFormation supports Amazon EC2 tagging.","No, CloudFormation doesn't support any tagging.","No, it doesn't support Amazon EC2 tagging.",It depends if the Amazon EC2 tagging has been defined in the template.,,
"126. If I modify a DB Instance or the DB parameter group associated with the instance, should I reboot the instance for the changes to take effect?",Single Answer,Yes.,No.,,,,
"127. If you are using Amazon RDS Provisioned IOPS storage with MySQL and Oracle database engines, you can scale the throughput of your database Instance by specifying the IOPS rate from [...].",Single Answer,"1,000 to 100,000.","100 to 1,000.","10,000 to 100,000.","1,000 to 10,000.",,
"128. To specify a resource in a policy statement, in Amazon EC2, can you use its Amazon Resource Name (ARN)?",Single Answer,"Yes, you can.","No, you can't because EC2 is not related to AR","No, you can't because you can't specify a particular Amazon EC2 resource in an IAM policy.","Yes, you can but only for the resources that are not affected by the action.",,
129. An enterprise wants to use a third-party SaaS application. The SaaS application needs to have access to issue several API commands to discover Amazon EC2 resources running within the enterprise's account The enterprise has internal security policies that require any outside access to their environment must conform to the principles of least privilege and there must be controls in place to ensure that the credentials used by the 5aa5 vendor cannot be used by any other third party. Which of the following would meet all of these conditions?,Single Answer,"From the AWS Management Console, navigate to the Security Credentials page and retrieve the access and secret key for your account.",Create an IAM user within the enterprise account assign a user policy to the IAM user that allows only the actions required by the SaaS application create a new access and secret key for the user and provide these credentials to the 5aa5 provider.,Create an IAM role for cross-account access allows the SaaS provider's account to assume the role and assign it a policy that allows only the actions required by the SaaS application.,"Create an IAM role for EC2 instances, assign it a policy that allows only the actions required tor the Saas application to work, provide the role ARM to the SaaS provider to use when launching their application instances.",,
130. By default what are ENIs that are automatically created and attached to instances using the EC2 console set to do when the attached instance terminates?,Single Answer,Remain as is.,Terminate.,Hibernate.,Pause.,,
"131. In EC2, what happens to the data in an instance store if an instance reboots (either intentionally or unintentionally)?",Single Answer,Data is deleted from the instance store for security reasons.,Data persists in the instance store.,Data is partially present in the instance store.,Data in the instance store will be lost.,,
132. You are designing a social media site and are considering how to mitigate distributed denial-of service (DDoS) attacks. Which of the below are viable mitigation techniques? (Choose 3 answers),Single Answer,Add multiple elastic network interfaces (ENis) to each EC2 instance to increase the network bandwidth.,Use dedicated instances to ensure that each instance has the maximum performance possible.,Use an Amazon CloudFront distribution for both static and dynamic content.,Use an Elastic Load Balancer with auto scaling groups at the web. App and Amazon Relational Database Service (RDS) tiers.,Add alert Amazon CloudWatch to look for high Network in and CPU utilization.,Create processes and capabilities to quickly add and remove rules to the instance OS firewall.
"133. In Amazon CloudFront, if you use Amazon EC2 instances and other custom origins with CloudFront, it is recommended to [...].",Single Answer,not use Elastic Load Balancing.,restrict Internet communication to private instances while allowing outgoing traffic.,enable access key rotation for CloudWatch metrics.,specify the URL of the load balancer for the domain name of your origin server.,,
134. Which of the following statements is true regarding attaching network interfaces to your instances in your VPC?,Single Answer,You can attach 5 ENIs per instance type.,You can attach as many ENIs as you want.,The number of ENIs you can attach varies by instance type.,You can attach 100 ENIs total regardless of instance type.,,
135. What is the reason for this?,Single Answer,For security reasons.,Hardware restrictions.,Public (IPV4) internet addresses are a scarce resource.,There are only 5 network interfaces per instance.,,
136. Can a 'user' be associated with multiple AWS accounts?,Multiple Answers,Yes.,No.,,,,
"137. You have an application running on an Amazon Elastic Compute Cloud instance, that uploads 5 GB video objects to Amazon Simple Storage Service (S3). Video uploads are taking longer than expected, resulting in poor application performance. Which method will help improve performance of your application?",Single Answer,Enable enhanced networking.,Use Amazon S3 multipart upload.,"Leveraging Amazon CloudFront, use the HTTP POST method to reduce latency.",Use Amazon Elastic Block Store Provisioned IOPs and use an Amazon EBS-optimized instance.,,
138. You have been given a scope to set up an AWS Media Sharing Framework for a new start up photo sharing company similar to flickr. The first thing that comes to mind about this is that it will obviously need a huge amount of persistent data storage for this framework. Which of the following storage options would be appropriate for persistent storage?,Single Answer,Amazon Glacier or Amazon S3.,Amazon Glacier or AWS Import/Export.,AWS Import/Export or Amazon CloudFront.,Amazon EBS volumes or Amazon S3.,,
"139. You need a persistent and durable storage to trace call activity of an IVR (Interactive Voice Response) system. Call duration is mostly in the 2-3 minutes timeframe. Each traced call can be either active or terminated. An external application needs to know each minute the list of currently active calls, which are usually a few calls/second. Put once per month there is a periodic peak up to 1000 calls/second for a few hours. The system is open 24/7 and any downtime should be avoided. Historical data is periodically archived to files. Cost saving is a priority for this project. What database implementation would better fit this scenario, keeping costs as low as possible?",Multiple Answers,"Use RDS Multi-AZ with two tables, one for 'Active calls' and one for 'Terminated calls'. in this way the 'Active calls' table is always small and effective to access.",Use DynamoDB with a 'Calls' table and a Global Secondary Index on a 'lsActive' attribute that is present for active calls only in this way the Global Secondary index is sparse and more effective.,Use DynamoDB with a 'Calls' table and a Global secondary index on a 'State' attribute that can equal to 'active' or 'terminated' in this way the Global Secondary index can be used for all Items in the table.,Use RDS Multi-AZ with a 'CALLS' table and an Indexed 'STATE* field that can be equal to 'ACTIVE' or 'TERMINATED' in this way the SOL query Is optimized by the use of the Index.,,
"140. If you have chosen Multi-AZ deployment, in the event of a planned or unplanned outage of your primary DB Instance, Amazon RDS automatically switches to the standby replica. The automatic failover mechanism simply changes the record of the main DB Instance to point to the standby DB Instance.",Single Answer,DNAME.,CNAME.,TXT.,MX.,,
141. All Amazon EC2 instances are assigned two IP addresses at launch. Which are those?,Single Answer,2 Elastic IP addresses.,A private IP address and an Elastic IP address.,A public IP address and an Elastic IP address.,A private IP address and a public IP address.,,
142. You need to pass a custom script to new Amazon Linux instances created in your Auto Scaling group. Which feature allows you to accomplish this?,Single Answer,User data.,EC2Config service.,IAM roles.,AWS Config.,,
143. A customer wants to track access to their Amazon Simple Storage Service (S3) buckets and also use this information for their internal security and access audits. Which of the following will meet the Customer requirement?,Single Answer,Enable AWS CloudTrail to audit all Amazon S3 bucket access.,Enable server access logging for all required Amazon S3 buckets.,Enable the Requester Pays option to track access via AWS Billing.,Enable Amazon S3 event notifications for Put and Post.,,
144. Which DNS name can only be resolved within Amazon EC2?,Single Answer,Public DNS name.,Internal DNS name.,External DNS name.,Global DNS name.,,
145. An AWS customer is deploying an application mat is composed of an AutoScaling group of EC2 Instances. The customers security policy requires that every outbound connection from these instances to any other service within the customers Virtual Private Cloud must be authenticated using a unique x 509 certificate that contains the specific instance-id. In addition an x 509 certificates must Designed by the customer's Key management service in order to be trusted for authentication. Which of the following configurations will support these requirements?,Single Answer,Configure an IAM Role that grants access to an Amazon S3 object containing a signed certificate and configure me Auto Scaling group to launch instances with this role Have the instances bootstrap get the certificate from Amazon S3 upon first boot.,Embed a certificate into the Amazon Machine Image that is used by the Auto Scaling group Have the launched instances generate a certificate signature request with the instance's assigned instance- id to the Key management service for signature.,Configure the Auto Scaling group to send an SNS notification of the launch of a new instance to the trusted key management service. Have the Key management service generate a signed certificate and send it directly to the newly launched instance.,Configure the launched instances to generate a new certificate upon first boot Have the Key management service poll the AutoScaling group for associated instances and send new instances a certificate signature (hat contains the specific instance-id.,,
146. A company is storing data on Amazon Simple Storage Service (S3). The company's security policy mandates that data is encrypted at rest. Which of the following methods can achieve this? (Choose 3 answers),Single Answer,Use Amazon S3 server-side encryption with AWS Key Management Service managed keys.,Use Amazon S3 server-side encryption with customer-provided keys.,Use Amazon S3 server-side encryption with EC2 key pair.,Use Amazon S3 bucket policies to restrict access to the data at rest.,Encrypt the data on the client-side before ingesting to Amazon S3 using their own master key.,Use SSL to encrypt the data while in transit to Amazon S3.
"147. In Amazon EC2, you are billed instance-hours when [...].",Single Answer,your EC2 instance is in a running state.,the instance exits from Amazon S3 console.,your instance still exits the EC2 console.,EC2 instances stop.,,
148. Which of the below mentioned options is a possible solution to avoid any security threat?,Single Answer,Use the IAM based single sign between the AWS resources and the organization application.,Use the IAM role and assign it to the instance.,"Since the application is hosted on EC2, it does not need credentials to access S3.",Use the 509 certificates instead of the access and the secret access keys.,,
"149. In Amazon EC2 Container Service components, what is the name of a logical grouping of container instances on which you can place tasks?",Single Answer,A cluster.,A container instance.,A container.,A task definition.,,
"150. You are looking to migrate your Development (Dev) and Test environments to AWS. You have decided to use separate AWS accounts to host each environment. You plan to link each accounts bill to a Master AWS account using Consolidated Billing. To make sure you Keep within budget you would like to implement a way for administrators in the Master account to have access to stop, delete and/or terminate resources in both the Dev and Test accounts. Identify which option will allow you to achieve this goal.",Single Answer,Create IAM users in the Master account with full Admin permissions. Create cross-account roles in the Dev and Test accounts that grant the Master account access to the resources in the account by inheriting permissions from the Master account.,Create IAM users and a cross-account role in the Master account that grants full Admin permissions to the Dev and Test accounts.,Create IAM users in the Master account Create cross-account roles in the Dev and Test accounts that have full Admin permissions and grant the Master.,Link the accounts using Consolidated Billing. This will give IAM users in the Master account access to resources in the Dev and Test accounts.,,
151. What will be the status of the snapshot until the snapshot is complete?,Single Answer,Running.,Working.,Progressing.,Pending.,,
"152. A customer is running a multi-tier web application farm in a virtual private cloud (VPC) that is not connected to their corporate network. They are connecting to the VPC over the Internet to manage all of their Amazon EC2 instances running in both the public and private subnets. They have only authorized the bastion-security-group with Microsoft Remote Desktop Protocol (RDP) access to the application instance security groups, but the company wants to further limit administrative access to all of the instances in the VPC. Which of the following Bastion deployment scenarios will meet this requirement?",Single Answer,Deploy a Windows Bastion host on the corporate network that has RDP access to all instances in the VP.,Deploy a Windows Bastion host with an Elastic IP address in the public subnet and allow SSH access to the bastion from anywhere.,"Deploy a Windows Bastion host with an Elastic IP address in the private subnet, and restrict RDP access to the bastion from only the corporate public IP addresses.","Deploy a Windows Bastion host with an auto-assigned Public IP address in the public subnet, and allow RDP access to the bastion from only the corporate public IP addresses.",,
153. True or False: Common points of failures like generators and cooling equipment are shared across Availability Zones.,Single Answer,True.,False.,,,,
"154. A company is building a voting system for a popular TV show, viewers win watch the performances then visit the show's website to vote for their favorite performer. It is expected that in a short period of time after the show has finished the site will receive millions of visitors. The visitors will first login to the site using their Amazon.com credentials and then submit their vote. After the voting is completed the page will display the vote totals. The company needs to build the site such that can handle the rapid influx of traffic while maintaining good performance but also wants to keep costs to a minimum. Which of the design patterns below should they use?",Single Answer,"Use CloudFront and an Elastic Load balancer in front of an auto-scaled set of web servers, the web servers will first can the Login With Amazon service to authenticate the user then process the users vote and store the result into a multi-AZ Relational Database Service instance.","Use CloudFront and the static website hosting feature of S3 with the Javascript SDK to call the Login With Amazon service to authenticate the user, use IAM Roles to gain permissions to a DynamoDB table to store the users vote.","Use CloudFront and an Elastic Load Balancer in front of an auto-scaled set of web servers, the web servers will first call the Login with Amazon service to authenticate the user, the web servers will process the users vote and store the result into a DynamoDB table using IAM Roles for EC2 instances to gain permissions to the DynamoDB table.","Use CloudFront and an Elastic Load Balancer in front of an auto-scaled set of web servers, the web servers will first call the Login. With Amazon service to authenticate the user, the web servers win process the users vote and store the result into an SQS queue using IAM Roles for EC2 Instances to gain permissions to the SQS queue. A set of application servers will then retrieve the items from the queue and store the result into a DynamoDB table.",,
155. You are designing a photo sharing mobile app the application will store all pictures in a single Amazon S3 bucket. Users will upload pictures from their mobile device directly to Amazon S3 and will be able to view and download their own pictures directly from Amazon S3. You want to configure security to handle potentially millions of users in the most secure manner possible. What should your server-side application do when a new user registers on the photo sharing mobile application?,Single Answer,Create a set of long-term credentials using AWS Security Token Service with appropriate permissions Store these credentials in the mobile app and use them to access Amazon S3.,Record the user's Information in Amazon RDS and create a role in IAM with appropriate permissions. When the user uses their mobile app create temporary credentials using the AWS Security Token Service 'Assume Role' function Store these credentials in the mobile app's memory and use them to access Amazon S3 Generate new credentials the next time the user runs the mobile app.,Record the user's Information in Amazon DynamoDB.,When the user uses their mobile app create temporary credentials using AWS Security Token Service with appropriate permissions Store these credentials in the mobile app's memory and use them to access Amazon S3 Generate new credentials the next time the user runs the mobile app.,"Create IAM user. Assign appropriate permissions to the IAM user Generate an access key and secret key for the IAM user, store them in the mobile app and use these credentials to access Amazon S3.","Create an IAM user. Update the bucket policy with appropriate permissions for the IAM user Generate an access Key and secret Key for the IAM user, store them in the mobile app and use these credentials to access Amazon S3."
156. Is there a limit to how many groups a user can be in?,Single Answer,Yes for all users.,Yes for all users except root.,No.,Yes unless special permission granted.,,
157. Which is the default region in AWS?,Single Answer,eu-west-1.,us-east-1.,us-east-2.,ap-southeast-1.,,
"158. Your company hosts a social media site supporting users in multiple countries. You have been asked to provide a highly available design tor the application that leverages multiple regions tor the most recently accessed content and latency sensitive portions of the wet) site The most latency sensitive component of the application involves reading user preferences to support web site personalization and ad selection. In addition to running your application in multiple regions, which option will support this application's requirements?",Multiple Answers,Serve user content from S3. CloudFront and use Route 53 latency-based routing between ELBs in each region Retrieve user preferences from a local DynamoDB table in each region and leverage SQS to capture changes to user preferences with 505 workers for propagating updates to each table.,Use the 53 Copy API to copy recently accessed content to multiple regions and serve user content from S3. CloudFront with dynamic content and an ELB in each region Retrieve user preferences from an ElasticCache cluster in each region and leverage SNS notifications to propagate user preference changes to a worker node in each region.,Use the 53 Copy API to copy recently accessed content to multiple regions and serve user content from S3 CloudFront and Route 53 latency-based routing Between ELBs in each region Retrieve user preferences from a DynamoDB table and leverage SQS to capture changes to user preferences with 505 workers for propagating DynamoDB updates.,"Serve user content from S3. CloudFront with dynamic content, and an ELB in each region Retrieve user preferences from an ElastiCache cluster in each region and leverage Simple Workflow (SWF) to manage the propagation of user preferences from a centralized OB to each ElastiCache cluster.",,
159. A [...] is a document that provides a formal statement of one or more permissions.,Single Answer,policy.,permission.,role.,resource.,,
160. A company wants to implement their website in a virtual private cloud (VPC). The web tier will use an Auto Scaling group across multiple Availability Zones (AZs). The database will use Multi-AZ RDSMySQL and should not be publicly accessible. What is the minimum number of subnets that need to be configured in the VPC?,Multiple Answers,1.,2.,3.,4.,,
161. Is there a limit to the number of groups you can have?,Single Answer,Yes for all users except root.,No.,Yes unless special permission granted.,Yes for all users.,,
162. True or False: Automated backups are enabled by default for a new DB Instance,Single Answer,True.,False.,,,,
163. What is one key difference between an Amazon EBS-backed and an instance-store backed instance?,Single Answer,Amazon EBS-backed instances can be stopped and restarted.,Instance-store backed instances can be stopped and restarted.,Auto scaling requires using Amazon EBS-backed instances.,Virtual Private Cloud requires EBS backed instances.,,
164. A major customer has asked you to set up his AWS infrastructure so that it will be easy to recover in the case of a disaster of some sort. Which of the following statements is true of Amazon EC2 security groups?,Single Answer,Create and maintain AMIs of key servers where fast recovery is required.,"Regularly run your servers, test them, and apply any software updates and configuration changes.",Ensure that you have all supporting custom software packages available in AWS.,All items listed here are important when thinking about disaster recovery.,,
165. Select a true statement about Amazon EC2 Security Groups (EC2-Classic).,Single Answer,"After you launch an instance in EC2-Classic, you can't change its security groups.","After you launch an instance in EC2-Classic, you can change its security groups only once.","After you launch an instance in EC2-Classic, you can only add rules to a security group.","After you launch an instance in EC2-Classic, you cannot add or remove rules from a security group.",,
"166. To view information about an Amazon EBS volume, open the Amazon EC2 console athttps://console.aws.amazon.com/ec2/, click in the Navigation panel.",Single Answer,EBS.,Describe.,Details.,Volumes.,,
167. True or False: Provisioned IOPS Costs - you are charged for the IOPS and storage whether or not you use them in a given month.,Single Answer,True.,False.,,,,
